18:59:10:576 [ALWAYS]	GUDE Logging Started
18:59:10:577 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:59:10:577 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:59:10:577 [ERROR]	Initialize resume cache pointer failure
18:59:10:577 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
18:59:10:577 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
18:59:12:598 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
18:59:12:598 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:59:12:598 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:59:12:598 [ERROR]	Initialize resume cache pointer failure
18:59:12:598 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
18:59:12:598 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
